iter	Passed	Remaining
853	27193	4649
854	27223	4616
855	27247	4583
856	27275	4551
857	27310	4519
858	27333	4486
859	27362	4454
860	27388	4421
861	27413	4388
862	27439	4355
863	27464	4323
864	27495	4291
865	27520	4258
866	27547	4225
867	27594	4196
868	27631	4165
869	27661	4133
870	27687	4100
871	27716	4068
872	27752	4037
873	27781	4005
874	27810	3972
875	27835	3940
876	27860	3907
877	27886	3874
878	27910	3842
879	27936	3809
880	27960	3776
881	27988	3744
882	28017	3712
883	28046	3680
884	28078	3648
885	28106	3616
886	28135	3584
887	28163	3552
888	28193	3520
889	28217	3487
890	28244	3455
891	28270	3422
892	28295	3390
893	28319	3357
894	28345	3325
895	28371	3293
896	28399	3261
897	28422	3228
898	28445	3195
899	28469	3163
900	28493	3130
901	28535	3100
902	28563	3068
903	28590	3036
904	28618	3004
905	28645	2972
906	28671	2939
907	28698	2907
908	28727	2875
909	28752	2843
910	28775	2811
911	28801	2779
912	28848	2748
913	28871	2716
914	28896	2684
915	28929	2652
916	28957	2621
917	28988	2589
918	29016	2557
919	29046	2525
920	29074	2493
921	29099	2461
922	29124	2429
923	29152	2397
924	29177	2365
925	29202	2333
926	29256	2303
927	29277	2271
928	29301	2239
929	29326	2207
930	29351	2175
931	29378	2143
932	29433	2113
933	29457	2081
934	29481	2049
935	29506	2017
936	29529	1985
937	29583	1955
938	29607	1923
939	29630	1891
940	29657	1859
941	29686	1827
942	29714	1796
943	29742	1764
944	29774	1732
945	29805	1701
946	29838	1669
947	29870	1638
948	29900	1606
949	29930	1575
950	29956	1543
951	30024	1513
952	30055	1482
953	30079	1450
954	30107	1418
955	30137	1387
956	30165	1355
957	30198	1323
958	30227	1292
959	30252	1260
960	30279	1228
961	30307	1197
962	30339	1165
963	30371	1134
964	30403	1102
965	30434	1071
966	30464	1039
967	30489	1007
968	30515	976
969	30543	944
970	30570	913
971	30595	881
972	30622	849
973	30652	818
974	30678	786
975	30707	755
976	30734	723
977	30762	691
978	30787	660
979	30812	628
980	30844	597
981	30874	565
982	30910	534
983	30943	503
984	30978	471
985	31006	440
986	31036	408
987	31076	377
988	31104	345
989	31128	314
990	31157	282
991	31185	251
992	31213	220
993	31240	188
994	31269	157
995	31297	125
996	31324	94
997	31357	62
998	31383	31
999	31410	0
